00100 0,9,9,13,11,15,15,16,7,13,11,15,13,15,15,16,8,11,11,13,14,15,15,16,10,13,13,15,14,15,15,16 0,10,10,11,6,11,11,12,10,11,11,12,11,12,12,13,10,11,11,12,11,12,12,13,11,12,12,13,12,13,13,14
00000 0,7,4,8,5,10,8,11,5,10,7,10,8,12,10,12,7,12,10,13,9,13,12,14,9,13,11,13,11,14,13,14 0,32,32,33,32,33,33,34,32,33,33,34,33,34,34,35,32,33,33,34,33,34,34,35,33,34,34,35,34,35,35,36
11111 0,19,17,28,21,31,26,34,22,30,25,32,29,34,30,35,20,28,28,33,30,35,32,36,30,33,33,35,33,35,34,36 0,10,10,11,10,11,11,12,10,11,11,12,11,12,12,13,10,11,11,12,11,12,12,13,11,12,12,13,12,13,13,14
01011 0,11,12,18,10,16,19,22,13,20,21,24,17,22,23,25,14,20,18,22,18,22,21,24,21,25,24,26,23,26,25,27 0,12,10,13,12,13,13,14,10,13,11,14,13,14,14,15,10,13,11,14,13,14,14,15,11,14,12,15,14,15,15,16
00000 0,18,14,24,18,24,24,27,20,25,26,28,23,26,27,28,17,26,24,30,24,28,28,30,24,28,29,31,27,29,30,31 0,30,30,31,30,31,31,32,30,31,31,32,31,32,32,33,30,31,31,32,31,32,32,33,31,32,32,33,32,33,33,34
00000 0,8,9,13,3,10,10,13,8,11,14,15,10,13,14,15,7,12,13,16,9,13,14,16,11,13,15,16,12,14,15,16 0,56,56,57,56,57,57,58,56,57,57,58,57,58,58,59,56,57,57,58,57,58,58,59,57,58,58,59,58,59,59,60
11101 0,14,10,20,12,18,19,22,6,15,14,20,15,19,21,22,11,18,17,22,17,21,21,23,13,18,19,22,18,21,22,23 0,9,9,10,9,10,10,11,10,11,11,12,11,12,12,13,9,10,10,11,10,11,11,12,11,12,12,13,12,13,13,14
00000 0,23,21,32,20,34,31,37,22,31,32,36,29,37,35,38,22,34,31,38,29,37,36,40,34,39,38,41,36,40,39,41 0,50,50,51,50,51,51,52,50,51,51,52,51,52,52,53,50,51,51,52,51,52,52,53,51,52,52,53,52,53,53,54
11111 0,20,21,30,19,29,27,33,19,26,28,33,27,32,30,34,22,29,31,33,28,32,33,35,29,33,34,36,31,34,34,36 0,10,10,11,10,11,11,12,10,11,11,12,11,12,12,13,10,11,11,12,11,12,12,13,11,12,12,13,12,13,13,14
00000 0,5,5,6,6,7,7,7,6,8,7,8,8,8,8,8,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8 0,28,28,29,28,29,29,30,28,29,29,30,29,30,30,31,28,29,29,30,29,30,30,31,29,30,30,31,30,31,31,32
00000 0,7,5,9,8,10,10,12,5,9,7,10,10,11,11,12,7,10,9,10,12,13,12,13,10,11,11,11,13,13,13,13 0,52,52,53,52,53,53,54,52,53,53,54,53,54,54,55,52,53,53,54,53,54,54,55,53,54,54,55,54,55,55,56
00000 0,18,21,28,22,32,32,37,21,31,28,34,31,37,35,39,20,29,31,35,31,36,35,38,31,36,35,38,35,38,37,39 0,50,50,51,50,51,51,52,50,51,51,52,51,52,52,53,50,51,51,52,51,52,52,53,51,52,52,53,52,53,53,54
