chat_allowed	tut=None;chat=47:PlayCall;a=4,b=6	true
chat_allowed	tut=None;chat=47:PlayCall;a=4,b=7	true
chat_allowed	tut=None;chat=47:PlayCall;a=5,b=0	true
chat_allowed	tut=None;chat=47:PlayCall;a=5,b=1	true
chat_allowed	tut=None;chat=47:PlayCall;a=5,b=2	true
chat_allowed	tut=None;chat=47:PlayCall;a=5,b=3	true
chat_allowed	tut=None;chat=47:PlayCall;a=5,b=4	true
chat_allowed	tut=None;chat=47:PlayCall;a=5,b=5	true
chat_allowed	tut=None;chat=47:PlayCall;a=5,b=6	true
chat_allowed	tut=None;chat=47:PlayCall;a=5,b=7	true
chat_allowed	tut=None;chat=47:PlayCall;a=6,b=0	true
chat_allowed	tut=None;chat=47:PlayCall;a=6,b=1	true
chat_allowed	tut=None;chat=47:PlayCall;a=6,b=2	true
chat_allowed	tut=None;chat=47:PlayCall;a=6,b=3	true
chat_allowed	tut=None;chat=47:PlayCall;a=6,b=4	true
chat_allowed	tut=None;chat=47:PlayCall;a=6,b=5	true
chat_allowed	tut=None;chat=47:PlayCall;a=6,b=6	true
chat_allowed	tut=None;chat=47:PlayCall;a=6,b=7	true
chat_allowed	tut=None;chat=47:PlayCall;a=7,b=0	true
chat_allowed	tut=None;chat=47:PlayCall;a=7,b=1	true
chat_allowed	tut=None;chat=47:PlayCall;a=7,b=2	true
chat_allowed	tut=None;chat=47:PlayCall;a=7,b=3	true
chat_allowed	tut=None;chat=47:PlayCall;a=7,b=4	true
chat_allowed	tut=None;chat=47:PlayCall;a=7,b=5	true
chat_allowed	tut=None;chat=47:PlayCall;a=7,b=6	true
chat_allowed	tut=None;chat=47:PlayCall;a=7,b=7	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=0,b=0	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=0,b=1	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=0,b=2	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=0,b=3	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=0,b=4	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=0,b=5	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=0,b=6	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=0,b=7	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=1,b=0	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=1,b=1	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=1,b=2	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=1,b=3	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=1,b=4	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=1,b=5	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=1,b=6	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=1,b=7	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=2,b=0	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=2,b=1	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=2,b=2	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=2,b=3	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=2,b=4	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=2,b=5	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=2,b=6	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=2,b=7	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=3,b=0	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=3,b=1	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=3,b=2	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=3,b=3	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=3,b=4	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=3,b=5	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=3,b=6	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=3,b=7	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=4,b=0	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=4,b=1	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=4,b=2	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=4,b=3	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=4,b=4	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=4,b=5	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=4,b=6	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=4,b=7	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=5,b=0	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=5,b=1	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=5,b=2	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=5,b=3	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=5,b=4	true
chat_allowed	tut=None;chat=48:PlayPhaseChange;a=5,b=5	true
