
===== specs[0] ult =====
  mem[0 ] PlayerState(=GamePlayer in 0x930    dir=r 관측=['load']               OK
  mem[1 ] PlayerState(=GamePlayer in 0x9c0    dir=r 관측=['load']               OK
  mem[9 ] Entity                     0x660    dir=r 관측=['load']               OK
  mem[10] Entity                     0x668    dir=r 관측=['load']               OK
  mem[11] SinglePlanBattle           0x58     dir=r 관측=['load']               OK
  mem[12] SinglePlanBattle(로컬 b, 다이브 0x8c     dir=w 관측=['store']              OK
  mem[13] BattlePlanGoal(스택 24B 임시)  0x0      dir=w 관측=['load', 'store']      OK
  mem[14] BattlePlanGoal(스택 24B 임시)  0x8      dir=w 관측=['load', 'store']      OK
  mem[15] BattlePlanGoal(스택 24B 임시)  0x10     dir=w 관측=['load', 'store']      OK
  mem[16] 반환 Option<SinglePlanBattle 0x0      dir=w 관측=['load', 'store']      OK
  mem[17] 반환 Option<SinglePlanBattle 0x0      dir=w 관측=['load', 'store']      OK

===== specs[16] max_range_nearly_can_use =====
  mem[0 ] Entity                     0x68     dir=r 관측=['load']               OK
